Method,Name,Error,Occurrences
POST,RACE POST /rides/bookings/{booking_id}/accept,CatchResponseError('race-contention race-accept status=400 details: Ride is not open for booking'),21
POST,RACE POST /rides/{ride_id}/book,CatchResponseError('race-contention race-book status=400 details: Ride is not open for booking'),59
