Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,BOOTSTRAP POST /auth/register,120,0,280,288.75456883312535,252.82985699595883,465.42765099729877,208.98333333333332,0.6694165748495625,0.0,280,290,300,310,330,350,380,410,470,470,470
GET,GET /admin/rides/open,36,0,19,28.005116417059778,7.099599999492057,96.41992699471302,93492.44444444444,0.20082497245486874,0.0,20,32,36,37,68,72,96,96,96,96,96
GET,GET /admin/rides/stats,51,0,19,19.372655786391274,11.07305201003328,53.46267300774343,342.8235294117647,0.2845020443110641,0.0,19,21,23,23,29,33,36,53,53,53,53
GET,GET /rides,5708,0,8,10.34020252389149,4.588595998939127,167.82206400239374,8882.560616678345,31.841915077010857,0.0,8,10,11,12,16,20,27,36,140,170,170
GET,GET /rides/my/bookings,1237,0,7,9.507871556245227,4.670414011343382,59.25004300661385,275.1818916734034,6.900569192407573,0.0,7,9,11,12,16,20,25,30,52,59,59
GET,GET /rides/{ride_id},1689,0,6,7.759111156386142,3.790705988649279,84.24636400013696,236.7927767910006,9.422038291007592,0.0,6,8,9,10,13,16,21,27,73,84,84
GET,GET /rides/{ride_id}/bookings/pending,995,0,8,9.891368028469122,5.428764998214319,40.89093400398269,16.387939698492463,5.550579099794289,0.0,8,10,11,12,16,20,26,33,41,41,41
POST,POST /rides,1010,0,24,26.552414581252233,14.730884009622969,190.0792439992074,236.2881188118812,5.634256171650485,0.0,24,26,29,31,37,43,59,69,190,190,190
POST,POST /rides/bookings/{booking_id}/accept,43,0,21,22.810798907601058,16.030455008149147,42.65442199539393,253.11627906976744,0.23987427265442657,0.0,21,23,27,28,30,35,43,43,43,43,43
POST,POST /rides/bookings/{booking_id}/reject,10,0,11,15.16013729851693,10.41124400217086,41.24777199467644,252.1,0.055784714570796874,0.0,13,14,14,15,41,41,41,41,41,41,41
POST,POST /rides/{ride_id}/book,90,0,19,20.782784333763022,14.244573001633398,46.449404006125405,251.04444444444445,0.5020624311371719,0.0,19,22,23,24,29,33,36,46,46,46,46
POST,POST /rides/{ride_id}/end,61,0,16,17.32159147495175,9.598898002877831,64.95263699616771,241.01639344262296,0.34028675888186094,0.0,16,17,19,20,22,26,54,65,65,65,65
POST,POST /rides/{ride_id}/start,176,0,13,14.88375334760018,9.246914007235318,44.02502100856509,239.1306818181818,0.981810976446025,0.0,13,15,17,19,23,28,35,37,44,44,44
,Aggregated,11226,0,9,14.597711888586426,3.790705988649279,465.42765099729877,4916.981471583823,62.62392057717657,0.0,9,11,14,16,22,29,46,260,330,410,470
