Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,BOOTSTRAP POST /auth/login,120,0,260,267.84762641655107,236.375118009164,457.9326379898703,208.98333333333332,1.0075030093738049,0.0,260,260,270,280,290,350,370,440,460,460,460
POST,BOOTSTRAP POST /auth/register,120,0,8,8.475210400501965,5.258492994471453,23.38131400756538,36.0,1.0075030093738049,0.0,8,9,9,10,11,14,15,18,23,23,23
GET,GET /admin/rides/open,24,0,37,44.242866833883454,30.379928997717798,84.77263500390109,230359.0,0.201500601874761,0.0,37,40,53,66,71,74,85,85,85,85,85
GET,GET /admin/rides/stats,37,0,17,17.740148298184362,13.564261011197232,29.46200499718543,350.3243243243243,0.31064676122358986,0.0,17,18,19,19,22,28,29,29,29,29,29
GET,GET /health,2302,0,2,2.8991745512488625,1.5864470042288303,68.96086200140417,15.0,19.32726606315416,0.0,2,3,3,3,4,4,6,10,55,69,69
GET,RACE GET /rides/{ride_id},17,0,6,7.845875177094165,4.649135007639416,19.159126008162275,237.0,0.14272959299462237,0.0,6,7,9,13,14,19,19,19,19,19,19
GET,RACE GET /rides/{ride_id}/bookings/pending,42,0,11,11.37116416620778,7.077504007611424,21.17388800252229,16262.880952380952,0.35262605328083174,0.0,11,12,12,13,13,14,21,21,21,21,21
POST,RACE POST /rides,11,0,27,27.823508452539418,17.541656008688733,44.65484600223135,237.0,0.09235444252593213,0.0,27,30,33,33,33,45,45,45,45,45,45
POST,RACE POST /rides/bookings/{booking_id}/accept,32,21,7,12.655304436520964,5.459706007968634,45.361527998466045,114.75,0.268667469166348,0.17631302664041587,7,17,18,21,26,32,45,45,45,45,45
POST,RACE POST /rides/bookings/{booking_id}/reject,8,0,24,22.083247622504132,13.075160997686908,30.073040994466282,254.5,0.067166867291587,0.0,25,26,28,28,30,30,30,30,30,30,30
POST,RACE POST /rides/{ride_id}/book,685,59,20,24.577725222113333,5.802975996630266,189.79525798931718,235.4963503649635,5.751163011842136,0.4953556462754541,20,23,26,28,36,43,98,150,190,190,190
,Aggregated,3398,80,3,17.623678455601198,1.5864470042288303,457.9326379898703,1901.7675103001766,28.529126882101576,0.67166867291587,3,5,15,18,26,43,260,270,350,460,460
