distribution,indexer,insert_total_s,search_hit_avg_s
sequential,bplus,0.0529765960000077,2.6940450006804895e-06
sequential,brute,1.1511528080009157,0.00011387211100009153
random,bplus,0.06558513000163657,1.7076980002457276e-06
random,brute,1.2488139079996472,0.00012486498100042808
reverse,bplus,0.19524272000126075,3.6099310000281547e-06
reverse,brute,1.1470582040001318,0.00010977524199915933
