degree,insert_total_s,search_hit_avg_s,range_query_avg_s,delete_avg_s
20,0.053055200000017066,0.0016684000001987442,0.00011559999984456226,3.447099999903003e-06
40,0.04907490000005055,0.0011912999998457963,9.760000102687627e-05,2.3448000010830582e-06
80,0.05086989999836078,0.0011656999995466322,0.00010770000153570436,2.349799999137758e-06
160,0.048547899999903166,0.0014589000002160901,0.0001277999999729218,2.3485000001528535e-06
320,0.04971029999978782,0.001261999999769614,0.0001204999989568023,2.2087000015744705e-06
640,0.05333220000102301,0.00108639999962179,0.00012409999908413738,2.176399999370915e-06
